tweet,tweet_processed,event,true_emotion,roberta_pred,distilbert_pred,flan_t5_pred,all_wrong,all_correct,partial_correct
Creo q esta noche no dormire.. Muchas emociones en #juegodetronos y ahora la nueva temporada de #EsposaJovenTVN #LaNuevaMelek,creo q esta noche no dormire.. muchas emociones en juegodetronos y ahora la nueva temporada de esposajoventvn lanuevamelek,GameOfThrones,surprise,joy,joy,others,True,False,False
Desde #BarberaDelValles #Barcelona #Cataluña #España con #NotreDame #Francia y sobretodo con el pueblo francés... 🇪🇸❤️🇫🇷 https://t.co/oAAsb6Wyv5,desde barberadelvalles barcelona cataluña españa con notredame francia y sobretodo con el pueblo francés... 🇪🇸❤️🇫🇷 [url],NotreDame,sadness,others,joy,others,True,False,False
La noche es oscura y alberga horrores. #JuegodeTronos,la noche es oscura y alberga horrores. juegodetronos,GameOfThrones,fear,others,surprise,others,True,False,False
"Como me gustaría, que el Verdadero rey de la noche fuera Braan, y el del dragoncito sea un cebo. #JuegodeTronos","como me gustaría, que el verdadero rey de la noche fuera braan, y el del dragoncito sea un cebo. juegodetronos",GameOfThrones,joy,others,others,disgust,True,False,False
"Lo de #NotreDame es muy triste, obvio. Lo único bueno que nos ha dejado la iglesia son obras musicales y arquitectónicas maravillosas, pero como siempre, reaccionamos al dolor europeo y no a otros. El bosque nativo es más antiguo que esa iglesia y lo queman por negocio 👀","lo de notredame es muy triste, obvio. lo único bueno que nos ha dejado la iglesia son obras musicales y arquitectónicas maravillosas, pero como siempre, reaccionamos al dolor europeo y no a otros. el bosque nativo es más antiguo que esa iglesia y lo queman por negocio 👀",NotreDame,anger,sadness,sadness,others,True,False,False
Las repetí y no lloré... Definitivamente soy una perra sin corazón! 😎 USER USER #avengers #AvengersEngame #got #GOT8 #Got8x03 #GameofThrones #JuegodeTronos,las repetí y no lloré... definitivamente soy una perra sin corazón! 😎 user user avengers avengersengame got got8 got8x03 gameofthrones juegodetronos,GameOfThrones,others,joy,joy,anger,True,False,False
Me está dando repulsión escuchar al secretario de #VOX😤 #ElecccionesGenerales28A #28Abril #28A,me está dando repulsión escuchar al secretario de vox 😤 elecccionesgenerales28a 28abril 28a,SpainElection,disgust,others,others,others,True,False,False
"#Venezuela En vivo desde Miami jajaja mintiendo mintiendo y mintiendo y también mienten, aveces informan mintiendo y aveces mienten informando por que si informan mienten y si mienten informan #ClarinMiente #HandsOffVenezuela #VenezuelaSeRespeta https://t.co/eH2Hogmk9K","venezuela en vivo desde miami jajaja mintiendo mintiendo y mintiendo y también mienten, aveces informan mintiendo y aveces mienten informando por que si informan mienten y si mienten informan clarinmiente handsoffvenezuela venezuelaserespeta [url]",Venezuela,disgust,others,others,others,True,False,False
"La palabra libro, está muy cerca a la palabra libre. Sólo la letra final las distancia: la O de libro y la E de libre. - Sergio Pitol #DíadelLibro #INJUDET https://t.co/6mT5jZ0fCq","la palabra libro, está muy cerca a la palabra libre. sólo la letra final las distancia: la o de libro y la e de libre. - sergio pitol díadellibro injudet [url]",WorldBookDay,joy,others,others,others,True,False,False
Menos mal que los debates los había ganado Pablo Iglesias #ElecccionesGenerales28A #EleccionesL6 https://t.co/rGOpyhsvFr,menos mal que los debates los había ganado pablo iglesias elecccionesgenerales28a eleccionesl6 [url],SpainElection,joy,others,others,others,True,False,False
